Analyst, Sample ID, Sample Tag, Notes1, Type, 434 nm, 578 nm, 730 nm,dyeV,salinity,temperature
RH-CH, Blank, no dye,0, Blank,0,0,0,0,NaN,NaN
RH-CH, P-0077-1-1-1, no dye,0, Measurement 1,0.1366,0.109,0.1724,0,31.5,16.5
RH-CH, P-0077-1-1-1, m-cresol added,0, Measurement 2,0.7879,0.7049,0.1695,80,31.5,16.5
RH-CH, P-0077-1-2-2, no dye,0, Measurement 1,0.121,0.095,0.1611,0,31.5,16.5
RH-CH, P-0077-1-2-2, m-cresol added,0, Measurement 2,0.7844,0.6994,0.1643,80,31.5,16.5
RH-CH, P-0077-1-B-3, no dye,0, Measurement 1,0.1283,0.1051,0.169,0,31.5,16.5
RH-CH, P-0077-1-B-3, m-cresol added,0, Measurement 2,0.8338,0.7521,0.1801,80,31.5,16.5
RH-CH, BAYSTD1-10132020-1, no dye,0, Measurement 1,0.0669,0.0532,0.1261,0,27.53,11.92
RH-CH, BAYSTD1-10132020-1, m-cresol added,0, Measurement 2,0.6875,0.7154,0.1277,80,27.53,11.92
RH-CH, BAYSTD1-10132020-2, no dye,0, Measurement 1,0.0629,0.0499,0.1217,0,27.53,11.92
RH-CH, BAYSTD1-10132020-2, m-cresol added,0, Measurement 2,0.6899,0.7233,0.1222,80,27.53,11.92
